TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
R2510,0500000US18003,"Allen County, Indiana",87.0,"171,500","+/-3,482"
R2510,0500000US18005,"Bartholomew County, Indiana",87.0,"191,100","+/-10,257"
R2510,0500000US18011,"Boone County, Indiana",87.0,"330,100","+/-33,815"
R2510,0500000US18019,"Clark County, Indiana",87.0,"188,300","+/-10,613"
R2510,0500000US18035,"Delaware County, Indiana",87.0,"113,000","+/-6,172"
R2510,0500000US18039,"Elkhart County, Indiana",87.0,"177,500","+/-9,166"
R2510,0500000US18043,"Floyd County, Indiana",87.0,"203,700","+/-11,919"
R2510,0500000US18053,"Grant County, Indiana",87.0,"108,900","+/-10,764"
R2510,0500000US18057,"Hamilton County, Indiana",87.0,"336,900","+/-9,581"
R2510,0500000US18059,"Hancock County, Indiana",87.0,"236,300","+/-14,321"
R2510,0500000US18063,"Hendricks County, Indiana",87.0,"265,000","+/-13,789"
R2510,0500000US18067,"Howard County, Indiana",87.0,"151,100","+/-10,606"
R2510,0500000US18081,"Johnson County, Indiana",87.0,"230,200","+/-12,351"
R2510,0500000US18085,"Kosciusko County, Indiana",87.0,"180,200","+/-11,840"
R2510,0500000US18089,"Lake County, Indiana",87.0,"201,100","+/-6,985"
R2510,0500000US18091,"LaPorte County, Indiana",87.0,"168,200","+/-11,309"
R2510,0500000US18095,"Madison County, Indiana",87.0,"137,000","+/-8,636"
R2510,0500000US18097,"Marion County, Indiana",87.0,"186,500","+/-4,118"
R2510,0500000US18105,"Monroe County, Indiana",87.0,"231,500","+/-11,239"
R2510,0500000US18109,"Morgan County, Indiana",87.0,"193,300","+/-15,253"
R2510,0500000US18127,"Porter County, Indiana",87.0,"257,100","+/-10,269"
R2510,0500000US18141,"St. Joseph County, Indiana",87.0,"161,200","+/-6,019"
R2510,0500000US18157,"Tippecanoe County, Indiana",87.0,"200,400","+/-12,907"
R2510,0500000US18163,"Vanderburgh County, Indiana",87.0,"155,100","+/-7,617"
R2510,0500000US18167,"Vigo County, Indiana",87.0,"130,900","+/-8,390"
R2510,0500000US18177,"Wayne County, Indiana",87.0,"120,500","+/-7,268"
R2510,7950000US1800101,"Lake County (Northwest)--Hammond & East Chicago Cities PUMA, Indiana",87.0,"126,500","+/-7,813"
R2510,7950000US1800102,"Lake County (Northeast)--Gary City & Griffith Town PUMA, Indiana",87.0,"123,800","+/-10,644"
R2510,7950000US1800103,"Lake County (Central) PUMA, Indiana",87.0,"219,500","+/-7,732"
R2510,7950000US1800104,"Lake County (South) PUMA, Indiana",87.0,"271,100","+/-9,895"
R2510,7950000US1800200,"Porter County PUMA, Indiana",87.0,"257,100","+/-10,269"
R2510,7950000US1800300,"LaPorte County PUMA, Indiana",87.0,"168,200","+/-11,309"
R2510,7950000US1800401,"St. Joseph County (North)--South Bend City PUMA, Indiana",87.0,"118,400","+/-7,991"
R2510,7950000US1800402,"St. Joseph County (Outside South Bend City)--Mishawaka City PUMA, Indiana",87.0,"193,500","+/-11,265"
R2510,7950000US1800500,"Elkhart County--Elkhart & Goshen Cities PUMA, Indiana",87.0,"177,500","+/-9,166"
R2510,7950000US1800600,"Noble, DeKalb, LaGrange & Steuben Counties PUMA; Indiana",87.0,"169,500","+/-6,715"
R2510,7950000US1800700,"Jasper, Starke, Fulton, Newton & Pulaski Counties PUMA; Indiana",87.0,"164,800","+/-7,658"
R2510,7950000US1800800,"Kosciusko & Marshall Counties PUMA, Indiana",87.0,"174,200","+/-10,302"
R2510,7950000US1800900,"Huntington, Whitley, Adams & Wells Counties PUMA; Indiana",87.0,"153,900","+/-6,304"
R2510,7950000US1801001,"Allen County (Central)--Fort Wayne City (South) PUMA, Indiana",87.0,"135,100","+/-7,847"
R2510,7950000US1801002,"Allen County (Central)--Fort Wayne City (North) PUMA, Indiana",87.0,"155,500","+/-4,774"
R2510,7950000US1801003,"Allen County (Outside Fort Wayne City) PUMA, Indiana",87.0,"240,500","+/-12,009"
R2510,7950000US1801100,"Montgomery, Clinton, White, Carroll & Benton Counties PUMA; Indiana",87.0,"151,700","+/-7,430"
R2510,7950000US1801200,"Tippecanoe County--Lafayette & West Lafayette Cities PUMA, Indiana",87.0,"200,400","+/-12,907"
R2510,7950000US1801300,"Howard, Cass & Tipton Counties--Kokomo City PUMA; Indiana",87.0,"137,000","+/-7,634"
R2510,7950000US1801400,"Grant, Miami & Wabash Counties PUMA; Indiana",87.0,"120,700","+/-6,817"
R2510,7950000US1801500,"Henry, Randolph, Jay & Blackford Counties PUMA; Indiana",87.0,"111,100","+/-6,890"
R2510,7950000US1801600,"Clay, Sullivan, Parke, Fountain, Vermillion & Warren Counties PUMA; Indiana",87.0,"113,500","+/-8,277"
R2510,7950000US1801700,"Vigo County--Terre Haute City PUMA, Indiana",87.0,"130,900","+/-8,390"
R2510,7950000US1801801,"Boone & Hamilton (Northwest) Counties PUMA, Indiana",87.0,"332,600","+/-22,572"
R2510,7950000US1801802,"Hamilton County (Central)--Carmel City & Fishers Town (West) PUMA, Indiana",87.0,"352,000","+/-12,396"
R2510,7950000US1801803,"Hamilton County (East)--Noblesville City & Fishers Town (East) PUMA, Indiana",87.0,"324,000","+/-17,921"
R2510,7950000US1801900,"Madison County--Anderson City PUMA, Indiana",87.0,"137,000","+/-8,636"
R2510,7950000US1802000,"Delaware County--Muncie City PUMA, Indiana",87.0,"113,000","+/-6,172"
R2510,7950000US1802100,"Morgan, Putnam & Brown Counties PUMA; Indiana",87.0,"185,600","+/-11,068"
R2510,7950000US1802200,"Hendricks County PUMA, Indiana",87.0,"265,000","+/-13,789"
R2510,7950000US1802301,"Marion County--Pike & Washington (Northwest) Townships--Indianapolis City (Northwest) PUMA, Indiana",87.0,"187,300","+/-9,992"
R2510,7950000US1802302,"Marion County--Washington Township (South & East)--Indianapolis City (North) PUMA, Indiana",87.0,"295,300","+/-16,233"
R2510,7950000US1802303,"Marion County--Lawrence Township--Indianapolis (Northeast) & Lawrence Cities PUMA, Indiana",87.0,"196,100","+/-9,533"
R2510,7950000US1802304,"Marion County--Wayne & Decatur (Northwest) Townships--Indianapolis City (West) PUMA, Indiana",87.0,"138,400","+/-14,158"
R2510,7950000US1802305,"Marion County--Center Township--Indianapolis City (Central) PUMA, Indiana",87.0,"143,300","+/-15,908"
R2510,7950000US1802306,"Marion County--Warren & Franklin Townships--Indianapolis City (East & Southeast) PUMA, Indiana",87.0,"178,900","+/-13,162"
R2510,7950000US1802307,"Marion County--Perry & Decatur (South & East) Townships--Indianapolis City (South) PUMA, Indiana",87.0,"187,700","+/-9,384"
R2510,7950000US1802400,"Johnson County--Greenwood City PUMA, Indiana",87.0,"230,200","+/-12,351"
R2510,7950000US1802500,"Hancock & Shelby Counties PUMA, Indiana",87.0,"222,500","+/-12,139"
R2510,7950000US1802600,"Wayne, Fayette, Rush & Union Counties PUMA; Indiana",87.0,"124,200","+/-8,303"
R2510,7950000US1802700,"Greene, Daviess, Owen, Orange & Martin Counties PUMA; Indiana",87.0,"139,500","+/-14,245"
R2510,7950000US1802800,"Monroe County--Bloomington City PUMA, Indiana",87.0,"231,500","+/-11,239"
R2510,7950000US1802900,"Bartholomew & Jackson Counties--Columbus City PUMA, Indiana",87.0,"180,500","+/-8,651"
R2510,7950000US1803000,"Jefferson, Jennings, Decatur & Scott Counties PUMA; Indiana",87.0,"169,700","+/-13,639"
