TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
R2510,1600000US1805860,"Bloomington city, Indiana",87.0,"249,900","+/-28,820"
R2510,1600000US1810342,"Carmel city, Indiana",87.0,"391,300","+/-18,373"
R2510,1600000US1822000,"Evansville city, Indiana",87.0,"111,800","+/-9,441"
R2510,1600000US1823278,"Fishers city, Indiana",87.0,"333,300","+/-18,100"
R2510,1600000US1825000,"Fort Wayne city, Indiana",87.0,"155,600","+/-4,259"
R2510,1600000US1831000,"Hammond city, Indiana",87.0,"131,700","+/-7,920"
R2510,1600000US1836003,"Indianapolis city (balance), Indiana",87.0,"188,700","+/-4,241"
R2510,1600000US1840788,"Lafayette city, Indiana",87.0,"152,400","+/-12,662"
R2510,1600000US1854180,"Noblesville city, Indiana",87.0,"266,300","+/-22,183"
R2510,1600000US1871000,"South Bend city, Indiana",87.0,"114,100","+/-7,235"
R2510,310M600US26860,"Indiana, PA Micro Area",87.0,"121,900","+/-4,935"
R2510,310M600US26900,"Indianapolis-Carmel-Anderson, IN Metro Area",87.0,"223,200","+/-3,590"
R2510,330M600US294,"Indianapolis-Carmel-Muncie, IN CSA",87.0,"209,200","+/-3,668"
R2510,400C100US41212,"Indianapolis, IN Urbanized Area (2010)",87.0,"227,300","+/-3,577"
