TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
R2510,9700000US1800150,"Anderson Community School Corporation, Indiana",87.0,"118,900","+/-9,069"
R2510,9700000US1800360,"Bartholomew County School Corporation, Indiana",87.0,"192,800","+/-10,299"
R2510,9700000US1800630,"Monroe County Community School Corporation, Indiana",87.0,"237,400","+/-13,513"
R2510,9700000US1801200,"Carmel Clay Schools, Indiana",87.0,"391,300","+/-18,373"
R2510,9700000US1802850,"East Allen County Schools, Indiana",87.0,"161,000","+/-8,503"
R2510,9700000US1803270,"Elkhart Community Schools, Indiana",87.0,"159,600","+/-14,142"
R2510,9700000US1803450,"Evansville-Vanderburgh School Corporation, Indiana",87.0,"155,100","+/-7,617"
R2510,9700000US1803630,"Fort Wayne Community Schools, Indiana",87.0,"144,700","+/-4,546"
R2510,9700000US1803940,"Greater Clark County Schools, Indiana",87.0,"186,400","+/-13,556"
R2510,9700000US1804320,"Hammond School City, Indiana",87.0,"131,600","+/-7,930"
R2510,9700000US1804770,"Indianapolis Public Schools, Indiana",87.0,"160,400","+/-7,789"
R2510,9700000US1805450,"Lake Central School Corporation, Indiana",87.0,"275,400","+/-13,289"
R2510,9700000US1805670,"Lawrence Township Metropolitan School District, Indiana",87.0,"210,500","+/-14,336"
R2510,9700000US1807410,"New Albany-Floyd County Consolidated Schools, Indiana",87.0,"203,700","+/-11,919"
R2510,9700000US1807650,"Noblesville Schools, Indiana",87.0,"267,300","+/-28,005"
R2510,9700000US1808820,"Perry Township Metropolitan School District, Indiana",87.0,"198,600","+/-12,087"
R2510,9700000US1808910,"Pike Township Metropolitan School District, Indiana",87.0,"177,700","+/-11,179"
R2510,9700000US1810290,"South Bend Community School Corporation, Indiana",87.0,"147,600","+/-8,063"
R2510,9700000US1810650,"Hamilton Southeastern Schools, Indiana",87.0,"325,100","+/-19,849"
R2510,9700000US1811340,"Tippecanoe School Corporation, Indiana",87.0,"226,500","+/-16,848"
R2510,9700000US1812090,"Vigo County School Corporation, Indiana",87.0,"130,900","+/-8,390"
R2510,9700000US1812360,"Warren Township Metropolitan School District, Indiana",87.0,"164,300","+/-9,692"
R2510,9700000US1812720,"Washington Township Metropolitan School District, Indiana",87.0,"273,900","+/-15,792"
R2510,9700000US1812810,"Wayne Township Metropolitan School District, Indiana",87.0,"154,000","+/-9,979"
