TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
R2510,0600000US1800366924,"St. Joseph township, Allen County, Indiana",87.0,"163,700","+/-6,002"
R2510,0600000US1800381620,"Wayne township, Allen County, Indiana",87.0,"113,200","+/-4,906"
R2510,0600000US1805713060,"Clay township, Hamilton County, Indiana",87.0,"391,300","+/-18,373"
R2510,0600000US1805722612,"Fall Creek township, Hamilton County, Indiana",87.0,"369,400","+/-25,392"
R2510,0600000US1805754198,"Noblesville township, Hamilton County, Indiana",87.0,"267,300","+/-28,005"
R2510,0600000US1808909820,"Calumet township, Lake County, Indiana",87.0,"120,900","+/-12,585"
R2510,0600000US1808954414,"North township, Lake County, Indiana",87.0,"165,600","+/-7,673"
R2510,0600000US1808966870,"St. John township, Lake County, Indiana",87.0,"275,400","+/-13,289"
R2510,0600000US1809711512,"Center township, Marion County, Indiana",87.0,"143,300","+/-15,908"
R2510,0600000US1809725504,"Franklin township, Marion County, Indiana",87.0,"229,600","+/-10,120"
R2510,0600000US1809742444,"Lawrence township, Marion County, Indiana",87.0,"196,100","+/-9,533"
R2510,0600000US1809759058,"Perry township, Marion County, Indiana",87.0,"192,500","+/-10,703"
R2510,0600000US1809759742,"Pike township, Marion County, Indiana",87.0,"176,400","+/-11,424"
R2510,0600000US1809780144,"Warren township, Marion County, Indiana",87.0,"159,900","+/-6,764"
R2510,0600000US1809780792,"Washington township, Marion County, Indiana",87.0,"287,600","+/-13,062"
R2510,0600000US1809781800,"Wayne township, Marion County, Indiana",87.0,"139,400","+/-14,304"
R2510,0600000US1814158734,"Penn township, St. Joseph County, Indiana",87.0,"151,300","+/-12,041"
R2510,0600000US1814161128,"Portage township, St. Joseph County, Indiana",87.0,"98,700","+/-8,098"
R2510,0600000US1816340212,"Knight township, Vanderburgh County, Indiana",87.0,"130,600","+/-12,537"
