X,Y,objectid,ncessch,leaid,name,opstfips,street,city,state,zip,stfip,cnty,nmcnty,locale,lat,lon,cbsa,nmcbsa,cbsatype,csa,nmcsa,necta,nmnecta,cd,sldl,sldu,schoolyear
-85.7759050289999,39.9691076120001,1,180000601935,1800006,Pendleton Juvenile Correctional,18,9310 S SR 67,Pendleton,IN,46060,18,18095,Madison County,41,39.9691,-85.7759,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1805,18053,18026,2021-2022
-86.79606948,41.6409928590001,2,180000601943,1800006,LaPorte Juvenile Correctional,18,2407 N 500 W,LaPorte,IN,46350,18,18091,LaPorte County,23,41.640985,-86.796064,33140,"Michigan City-La Porte, IN",1,176,"Chicago-Naperville, IL-IN-WI",N,N,1802,18020,18008,2021-2022
-86.40061028,40.7417347210001,3,180000601946,1800006,Logansport Juvenile Correctional,18,1118 S SR 25,Logansport,IN,46947,18,18017,Cass County,41,40.741727,-86.400605,30900,"Logansport, IN",2,N,N,N,N,1804,18038,18018,2021-2022
-86.165005126,39.7681075560001,4,180000602453,1800006,Dept of Correction Adult Schools,18,302 W Washington St,Indianapolis,IN,46204,18,18097,Marion County,11,39.7681,-86.165,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18097,18036,2021-2022
-87.165505357,39.03470737,5,180000702265,1800007,Greene-Sullivan Special Ed Coop,18,77 A St NE,Linton,IN,47441,18,18055,Greene County,32,39.0347,-87.1655,N,N,0,N,N,N,N,1808,18062,18039,2021-2022
-86.986205312,39.1194073950001,6,180000802090,1800008,White River Valley Elementary Sch,18,484 W Main St,Worthington,IN,47471,18,18055,Greene County,42,39.1194,-86.9862,N,N,0,N,N,N,N,1808,18062,18039,2021-2022
-87.047105323,39.0357073770001,7,180000802302,1800008,White River Valley High School,18,5644 W SR 54,Switz City,IN,47465,18,18055,Greene County,42,39.0357,-87.0471,N,N,0,N,N,N,N,1808,18062,18039,2021-2022
-87.100444334,38.9780583630001,8,180000802304,1800008,White River Valley Middle School,18,2926 S SR 67,Lyons,IN,47443,18,18055,Greene County,42,38.978051,-87.100439,N,N,0,N,N,N,N,1808,18062,18039,2021-2022
-85.788604994,39.5114075270001,9,180000900115,1800009,Area District #38 - Blue River Career Programs,18,801 St. Joseph Street,Shelbyville,IN,46176,18,18145,Shelby County,32,39.5114,-85.7886,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1806,18057,18042,2021-2022
-85.809804909,38.3531073080001,10,180001101737,1800011,Community Montessori,18,4102 St Joseph Rd,New Albany,IN,47150,18,18043,Floyd County,21,38.3531,-85.8098,31140,"Louisville/Jefferson County, KY-IN",1,350,"Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN",N,N,1809,18072,18046,2021-2022
-85.105117921,41.0393028400001,11,180001301774,1800013,Timothy L Johnson Academy,18,4625 Werling Dr,Fort Wayne,IN,46806,18,18003,Allen County,11,41.039295,-85.105113,23060,"Fort Wayne, IN",1,258,"Fort Wayne-Huntington-Auburn, IN",N,N,1803,18080,18014,2021-2022
-86.0520050929999,39.7693075620001,12,180001401756,1800014,Irvington Community School,18,6705 E Julian Ave,Indianapolis,IN,46219,18,18097,Marion County,11,39.7693,-86.052,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18100,18028,2021-2022
-86.1374051349999,39.9624075930001,13,180001601738,1800016,Options Westfield,18,530 W Carmel Dr,Carmel,IN,46032,18,18057,Hamilton County,13,39.9624,-86.1374,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1805,18039,18029,2021-2022
-85.9920360959999,40.0149976100001,14,180001602313,1800016,Options Noblesville,18,9945 Cumberland Pointe Blvd,Noblesville,IN,46060,18,18057,Hamilton County,21,40.01499,-85.992031,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1805,18029,18020,2021-2022
-86.02908611,40.0503776150001,15,180001602700,1800016,Options Indiana,18,18077 River Rd,Noblesville,IN,46062,18,18057,Hamilton County,21,40.05037,-86.029081,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1805,18029,18020,2021-2022
-86.148334118,39.7279485490001,16,180001801789,1800018,Christel House Academy South,18,2717 S East St,Indianapolis,IN,46225,18,18097,Marion County,11,39.727941,-86.148329,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18097,18036,2021-2022
-86.15336912,39.7336035500001,17,180001802730,1800018,Christel House Watanabe Manual High School,18,2405 Madison Ave,Indianapolis,IN,46225,18,18097,Marion County,11,39.733596,-86.153364,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18097,18036,2021-2022
-87.569005389,37.973207152,18,180002100319,1800021,Signature School Inc,18,610 Main St,Evansville,IN,47708,18,18163,Vanderburgh County,12,37.9732,-87.569,21780,"Evansville, IN-KY",1,N,N,N,N,1808,18077,18049,2021-2022
-86.14250513,39.8942075800001,19,180002302257,1800023,IN Sch for the Blind & Vis Imprd,18,7725 N College Ave,Indianapolis,IN,46240,18,18097,Marion County,11,39.8942,-86.1425,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1805,18087,18030,2021-2022
-86.136605123,39.8343075700001,20,180002402258,1800024,Indiana School For The Deaf,18,1200 E 42nd St,Indianapolis,IN,46205,18,18097,Marion County,11,39.8343,-86.1366,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18096,18033,2021-2022
-87.3838926509999,41.6011228190001,21,180002501807,1800025,Thea Bowman Leadership Academy,18,3401 W 5th Ave,Gary,IN,46406,18,18089,Lake County,13,41.601115,-87.383887,16980,"Chicago-Naperville-Elgin, IL-IN-WI",1,176,"Chicago-Naperville, IL-IN-WI",N,N,1801,18003,18003,2021-2022
-87.24895761,41.5964118260001,22,180002701815,1800027,Charter School of the Dunes,18,7300 East Melton Rd,Gary,IN,46403,18,18089,Lake County,13,41.596404,-87.248952,16980,"Chicago-Naperville-Elgin, IL-IN-WI",1,176,"Chicago-Naperville, IL-IN-WI",N,N,1801,18003,18003,2021-2022
-86.129146119,39.811487566,23,180002802136,1800028,KIPP Indy College Prep Middle,18,1740 E 30th St,Indianapolis,IN,46218,18,18097,Marion County,11,39.81148,-86.129141,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",N,N,1807,18096,18034,2021-2022
-85.2861049749999,41.0385078310001,24,180003000001,1800030,Aboite Elementary School,18,5004 Homestead Rd,Fort Wayne,IN,46814,18,18003,Allen County,21,41.0385,-85.2861,23060,"Fort Wayne, IN",1,258,"Fort Wayne-Huntington-Auburn, IN",N,N,1803,18083,18016,2021-2022
-85.286136976,41.0433448320001,25,180003000002,1800030,Homestead Senior High School,18,4310 Homestead Rd,Fort Wayne,IN,46814,18,18003,Allen County,21,41.043337,-85.286132,23060,"Fort Wayne, IN",1,258,"Fort Wayne-Huntington-Auburn, IN",N,N,1803,18083,18016,2021-2022
-85.311604985,41.064242834,26,180003000005,1800030,Woodside Middle School,18,2310 W Hamilton Rd - South,Fort Wayne,IN,46814,18,18003,Allen County,21,41.064235,-85.3116,23060,"Fort Wayne, IN",1,258,"Fort Wayne-Huntington-Auburn, IN",N,N,1803,18083,18016,2021-2022
-85.2546049699999,41.07920784,27,180003000083,1800030,Whispering Meadow Elementary Sch,18,415 Mission Hill Dr,Fort Wayne,IN,46804,18,18003,Allen County,11,41.0792,-85.2546,23060,"Fort Wayne, IN",1,258,"Fort Wayne-Huntington-Auburn, IN",N,N,1803,18083,18016,2021-2022
