County,Median Listing Price,Listing Price Per SqFt,Median Monthly Rent,For Sale,For Sale YoY %,For Rent,For Rent MoM %,Days on Market,MoM %,YoY %
Marion County,250000,156,1580,4220,14.45,1822,-2.69,,,
Lake County,279900,163,1476,2508,5.46,713,7.69,,,
Hamilton County,465000,192,2377,1912,22.99,347,-3.14,44.0,-35.29,41.94
Allen County,299900,161,1300,1681,4.07,397,-3.14,46.0,-20.69,4.55
St. Joseph County,267000,155,1267,1212,-14.86,196,20.0,44.0,-24.14,-12.0
Hendricks County,364900,165,2000,1019,14.85,144,20.65,,,
Clark County,279000,175,1700,967,19.92,101,-6.25,46.0,-11.54,15.0
Johnson County,339900,171,1860,948,14.24,143,-3.31,,,
Porter County,375000,178,1375,947,-10.77,242,-6.23,,,
Vanderburgh County,189900,131,1300,842,11.19,189,0.0,,,
Hancock County,333945,163,1910,839,31.61,95,-1.39,,,
Monroe County,359950,194,1800,747,22.03,781,5.49,,,
Madison County,199900,131,999,673,19.3,211,0.88,,,
LaPorte County,262000,158,1300,559,-5.94,132,-19.08,,,
Elkhart County,299900,156,1200,527,-2.47,90,57.89,46.0,-24.59,-13.21
