County,Median Listing Price,Listing Price Per SqFt,Median Monthly Rent
Marion County,250000,156,1580
Lake County,279900,163,1476
Hamilton County,465000,192,2377
Allen County,299900,161,1300
St. Joseph County,267000,155,1267
Hendricks County,364900,165,2000
Clark County,279000,175,1700
Johnson County,339900,171,1860
Porter County,375000,178,1375
Vanderburgh County,189900,131,1300
Hancock County,333945,163,1910
Monroe County,359950,194,1800
Madison County,199900,131,999
LaPorte County,262000,158,1300
Elkhart County,299900,156,1200
